Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
00102634,,NUT,螺母,,,,NTE240,030-0060
00102635,,NUT,六角螺母,,,,NTE240,030-0020 030-0025 030-0040 040-0080 050-0240 090-0140 210-0413
00102637,,NUT,螺母,,,,NTE240,040-0070 040-0080 050-0030
00102639,,NUT,螺母,,,,NTE240,040-0070 040-0080
00103026,,NUT,六角螺母,,,,NTE240,050-0030
00103319,,LOCK WASHER,弹簧垫圈,,,,NTE240,020-0040 030-0060 030-0080 030-0180 050-0035 090-0050 090-0140 210-0413
00103320,,WASHER,弹垫,,,,NTE240,030-0040 030-0060 040-0080 050-0020 210-0413
00103328,,WASHER SPRING,弹簧垫圈,,,,NTE240,050-0040 050-0090
00103329,,LOCKWASHER,淬火垫圈,,,,NTE240,040-0020 040-0080 050-0030 050-0040 050-0090 050-0170 050-0250 070-0000 070-0020 070-0040 070-0070 100-0050 210-0230 210-0423
00103331,,LOCK WASHER,弹簧垫圈,,,,NTE240,020-0020 030-0040 040-0040 040-0070 040-0080 050-0090 050-0170 090-0160
00103332,,WASHER SPRING,弹簧垫圈,,,,NTE240,040-0000 050-0020 070-0070
00103339,,WASHER,垫圈,,,,NTE240,030-0040 030-0060 030-0180 050-0020 050-0035 090-0050 090-0140
00103340,,WASHER,平垫,,,,NTE240,030-0040 030-0060 040-0080
00103385,,,开口销,,,,NTE240,070-0040
00106263,,WASHER,平垫片,,,,NTE240,020-0020 020-0030 020-0110 020-0120 030-0040 030-0060 030-0160 030-0190 040-0010 050-0035 050-0080 050-0090 050-0250 100-0030 100-0120 100-0260 210-0230 210-0240 210-0350
00106265,,WASHER,平垫片,,,,NTE240,020-0020 030-0160 050-0030 050-0250 090-0150 100-0050 210-0230 210-0423
00106267,,WASHER,平垫片,,,,NTE240,020-0020 030-0040 040-0040 040-0070 050-0030
00106268,,WASHER,垫片,,,,NTE240,040-0060
00106269,,WASHER,垫圈,,,,NTE240,020-0010
00106270,,WASHER,垫片,,,,NTE240,020-0040 030-0130 030-0140
00108580,,WASHER,弹垫,,,,NTE240,020-0020 020-0040 030-0020 030-0030 030-0040 030-0060 030-0160 030-0190 040-0010 040-0020 040-0080 050-0035 050-0040 050-0080 050-0090 050-0110 050-0170 050-0180 050-0240 050-0250 090-0140 100-0030 100-0090 100-0120 150-0010 210-0230 210-0350 210-0413
00108686,,ELBOW,弯头,,,,NTE240,040-0010
00109084,,NUT,螺母,,,,NTE240,030-0180 050-0035 090-0050
00111001,,ADAPTER,弯接头,,,,NTE240,050-0020 070-0050
00111145,,CONNECTION ELBOW,弯接头,,,,NTE240,070-0050
00113188,,PLUG,螺堵,,,,NTE240,070-0050
00114503,,NUT,螺母,,,,NTE240,030-0040
00117959,,RUBBER GROMMENT,眼护圈,,,,NTE240,210-0350
00117966,,GROMMET,眼护圈,,,,NTE240,030-0020 030-0060 210-0350
00120350,,LOCK WASHER,弹簧垫圈,,,,NTE240,020-0040 030-0130 030-0140
00128003,,ADAPTOR,变径接头,,,,NTE240,210-0413
00137971,,ELBOW,弯头,,,,NTE240,040-0010
00138292,,BOLT,螺栓,,,,NTE240,050-0040
00140798,,JOINT,接头,,,,NTE240,100-0030
00144034,,ADAPTOR,接头,,,,NTE240,090-0140 100-0035
00145378,,SCREW,螺钉,,,,NTE240,020-0040 100-0190
00169162,,STEEL BALL,钢球,,,,NTE240,070-0070
00178551,,WASHER,内齿锁紧垫圈,,,,NTE240,030-0025
00179791,,BOLT,螺栓,,,,NTE240,030-0080
00179793,,BOLT,螺栓,,,,NTE240,040-0020
00179795,,BOLT,螺栓,,,,NTE240,050-0020 210-0413
